1000,6309,45.94
1000,10000,45.81
1000,15848,45.56
1000,25118,47.09
1000,39810,46.33
1000,63095,46.77
2000,1000,52.08
2000,1584,52.14
2000,2511,49.84
2000,3981,46.71
2000,6309,45.75
2000,10000,45.24
2000,15848,43.71
2000,25118,44.60
2000,39810,45.88
2000,63095,43.96
3000,1000,49.39
3000,1584,49.39
3000,2511,49.39
3000,3981,48.24
3000,6309,45.50
3000,10000,44.86
3000,15848,45.69
3000,25118,45.88
3000,39810,47.09
3000,63095,45.56
4000,1000,47.86
4000,1584,47.86
4000,2511,47.86
4000,3981,48.18
4000,6309,45.30
4000,10000,45.18
4000,15848,44.15
4000,25118,46.71
4000,39810,47.67
4000,63095,45.62
5000,1000,46.39
5000,1584,46.39
5000,2511,46.39
5000,3981,46.39
5000,6309,45.75
5000,10000,45.18
5000,15848,45.05
5000,25118,46.13
5000,39810,47.35
5000,63095,45.43
6000,1000,46.77
6000,1584,46.77
6000,2511,46.77
6000,3981,46.77
6000,6309,46.52
6000,10000,44.86
6000,15848,44.28
6000,25118,45.05
6000,39810,46.07
6000,63095,46.20
7000,1000,45.37
7000,1584,45.37
7000,2511,45.37
7000,3981,45.37
7000,6309,45.37
7000,10000,45.69
7000,15848,45.11
7000,25118,45.88
7000,39810,46.26
7000,63095,45.43
8000,1000,45.18
8000,1584,45.18
8000,2511,45.18
8000,3981,45.18
8000,6309,45.18
8000,10000,45.62
8000,15848,44.15
8000,25118,44.54
8000,39810,45.94
8000,63095,46.01
9000,1000,45.94
9000,1584,45.94
9000,2511,46.01
9000,3981,46.01
9000,6309,45.88
9000,10000,44.79
9000,15848,43.07
9000,25118,45.43
9000,39810,46.52
9000,63095,46.71
10000,1000,46.07
10000,1584,46.07
10000,2511,46.07
10000,3981,46.07
10000,6309,46.01
10000,10000,46.33
10000,15848,44.35
10000,25118,45.05
10000,39810,46.84
10000,63095,45.88
2000,15000,43.51
2000,16000,44.92
2000,17000,46.13
2000,18000,44.73
2000,19000,46.01
2000,20000,44.22
2000,21000,44.41
2000,22000,44.79
2000,23000,45.05
2000,24000,45.94
2000,25000,45.75
2000,26000,44.92
2000,27000,43.96
2000,28000,46.33
2000,29000,46.84
2000,30000,45.43
2000,31000,46.20
2000,32000,44.92
2000,33000,47.09
2000,34000,46.45
2000,35000,46.58
2000,36000,46.07
2000,37000,45.24
2000,38000,45.94
2000,39000,45.05
2000,40000,46.45
2000,41000,47.80
2000,42000,46.77
2000,43000,46.20
2000,44000,46.07
2000,45000,46.26
2000,46000,46.20
2000,47000,45.88
2000,48000,46.13
2000,49000,45.69
2000,50000,45.88
2000,51000,46.07
2000,52000,45.94
2000,53000,45.62
2000,54000,45.37
2000,55000,45.43
2000,56000,46.26
2000,57000,45.37
2000,58000,45.50
2000,59000,45.05
2000,60000,45.69
2000,61000,46.71
2000,62000,46.13
2000,63000,44.79
2000,64000,45.75
2000,15848,43.71
2500,15848,44.98
3000,15848,45.69
3500,15848,45.37
4000,15848,44.15
4500,15848,44.92
5000,15848,45.05
5500,15848,45.56
6000,15848,44.28
6500,15848,45.69
7000,15848,45.11
7500,15848,44.98
8000,15848,44.15
8500,15848,45.56
9000,15848,43.07
